MES/AÑO,TIPO CLIENTES,PRODUCTO,% TIENDAS IMPACTADAS
201801,CLIENTES GRANDES,A1,93
201801,CLIENTES GRANDES,A2,100
201801,CLIENTES GRANDES,A3,84
201801,CLIENTES GRANDES,A4,99
201801,CLIENTES GRANDES,A5,94
201801,CLIENTES GRANDES,A6,85
201801,CLIENTES GRANDES,A7,88
201801,CLIENTES GRANDES,A8,96
201801,CLIENTES GRANDES,A9,93
201801,CLIENTES GRANDES,A10,96
201801,CLIENTES GRANDES,A11,95
201801,CLIENTES GRANDES,A12,97
201801,CLIENTES GRANDES,A13,97
201801,CLIENTES GRANDES,A14,94
201801,CLIENTES GRANDES,A15,95
201801,CLIENTES GRANDES,A16,88
201801,CLIENTES GRANDES,A17,72
201801,CLIENTES GRANDES,A18,96
201801,CLIENTES GRANDES,A19,100
201801,CLIENTES GRANDES,A20,100
201801,CLIENTES GRANDES,A21,96
201801,CLIENTES GRANDES,A22,85
201801,CLIENTES GRANDES,A23,100
201801,CLIENTES GRANDES,A24,92
201801,CLIENTES PEQUEÑOS,A1,49
201801,CLIENTES PEQUEÑOS,A2,25
201801,CLIENTES PEQUEÑOS,A3,25
201801,CLIENTES PEQUEÑOS,A4,71
201801,CLIENTES PEQUEÑOS,A5,37
201801,CLIENTES PEQUEÑOS,A6,7
201801,CLIENTES PEQUEÑOS,A7,3
201801,CLIENTES PEQUEÑOS,A8,22
201801,CLIENTES PEQUEÑOS,A9,30
201801,CLIENTES PEQUEÑOS,A10,29
201801,CLIENTES PEQUEÑOS,A11,34
201801,CLIENTES PEQUEÑOS,A14,40
201801,CLIENTES PEQUEÑOS,A15,6
201801,CLIENTES PEQUEÑOS,A16,4
201801,CLIENTES PEQUEÑOS,A17,9
201801,CLIENTES PEQUEÑOS,A18,79
201801,CLIENTES PEQUEÑOS,A19,66
201801,CLIENTES PEQUEÑOS,A20,61
201801,CLIENTES PEQUEÑOS,A21,66
201801,CLIENTES PEQUEÑOS,A22,44
