MES/AÑO,TIPO CLIENTES,PRODUCTO,PRECIO POR TON (USD),MARCA,INVERSION,% TIENDAS IMPACTADAS,DIAS HABILES,TEMPERATURA,INFLACION,VENTAS (TON),VENTAS (PESOS),INVERSION (PESOS),INGRESOS
2018-01-01,CLIENTES GRANDES,A1,11974.78,MARCA1,0.3296,0.93,22,22.2,0.18,5.583,66855.2,22035.47,44819.73
2018-01-01,CLIENTES GRANDES,A2,16001.06,MARCA2,0.2392,1.0,22,22.2,0.18,41.297,660795.77,158062.35,502733.42
2018-01-01,CLIENTES GRANDES,A3,17422.3,MARCA2,0.2552,0.84,22,22.2,0.18,2.553,44479.13,11351.07,33128.06
2018-01-01,CLIENTES GRANDES,A4,13909.82,MARCA1,0.2642,0.99,22,22.2,0.18,36.454,507068.58,133967.52,373101.06
2018-01-01,CLIENTES GRANDES,A5,16142.56,MARCA3,0.2246,0.94,22,22.2,0.18,13.793,222654.33,50008.16,172646.17
2018-01-01,CLIENTES GRANDES,A6,16008.79,MARCA3,0.2572,0.85,22,22.2,0.18,3.867,61905.99,15922.22,45983.77
2018-01-01,CLIENTES GRANDES,A7,15643.92,MARCA3,0.2593,0.88,22,22.2,0.18,3.068,47995.55,12445.25,35550.3
2018-01-01,CLIENTES GRANDES,A8,11274.96,MARCA1,0.3192,0.96,22,22.2,0.18,8.197,92420.85,29500.74,62920.11
2018-01-01,CLIENTES GRANDES,A9,8664.26,MARCA1,0.2548,0.93,22,22.2,0.18,10.504,91009.39,23189.19,67820.2
2018-01-01,CLIENTES GRANDES,A10,20454.33,MARCA1,0.2624,0.96,22,22.2,0.18,6.164,126080.49,33083.52,92996.97
2018-01-01,CLIENTES GRANDES,A11,24241.6,MARCA1,0.3117,0.95,22,22.2,0.18,11.458,277760.25,86577.87,191182.38
2018-01-01,CLIENTES GRANDES,A12,24817.2,MARCA1,0.2297,0.97,22,22.2,0.18,5.89,146173.31,33576.01,112597.3
