MES/AÑO,TIPO CLIENTES,PRODUCTO,PRECIO POR TON (USD),MARCA,INVERSION,% TIENDAS IMPACTADAS,DIAS HABILES,TEMPERATURA,INFLACION,VENTAS (TON),VENTAS (PESOS),INVERSION (PESOS),INGRESOS,HWES3_MUL
2018-01-01,CLIENTES GRANDES,A1,11974.78,MARCA1,0.3296,0.93,22,22.2,0.18,5.583,66855.2,22035.47,44819.73,77054.62031097407
2018-02-01,CLIENTES GRANDES,A1,11591.0,MARCA1,0.2624,0.93,20,23.0,0.48,10.449,121114.36,31780.41,89333.95,124048.26680190452
2018-03-01,CLIENTES GRANDES,A1,11928.65,MARCA1,0.2878,0.91,20,22.5,0.97,9.334,111342.02,32044.23,79297.79,187171.04159733676
2018-04-01,CLIENTES GRANDES,A1,11731.65,MARCA1,0.2838,0.93,21,20.9,0.84,14.156,166073.24,47131.59,118941.65,92891.61599626181
2018-05-01,CLIENTES GRANDES,A1,11784.4,MARCA1,0.3601,0.94,22,18.5,0.88,12.817,151040.65,54389.74,96650.91,141039.0367476319
2018-06-01,CLIENTES GRANDES,A1,11787.5,MARCA1,0.3531,0.94,20,16.4,1.24,18.521,218316.29,77087.48,141228.81,227774.22729763974
2018-07-01,CLIENTES GRANDES,A1,12092.74,MARCA1,0.4257,0.94,22,15.7,1.64,11.411,137990.26,58742.45,79247.81,160046.4971451567
2018-08-01,CLIENTES GRANDES,A1,11251.5,MARCA1,0.3435,0.94,22,15.3,1.81,15.911,179022.62,61494.27,117528.35,193419.68463793822
2018-09-01,CLIENTES GRANDES,A1,12276.74,MARCA1,0.3395,0.94,20,15.7,2.01,16.33,200479.16,68062.67,132416.49,201683.8518475512
2018-10-01,CLIENTES GRANDES,A1,10803.74,MARCA1,0.3431,0.94,22,16.7,2.14,6.4,69143.94,23723.29,45420.65,68143.32426432615
2018-11-01,CLIENTES GRANDES,A1,12686.58,MARCA1,0.3817,0.93,21,18.0,2.29,8.232,104435.93,39863.19,64572.74,105295.62912332069
2018-12-01,CLIENTES GRANDES,A1,12371.43,MARCA1,0.4147,0.94,20,19.6,2.48,7.577,93738.33,38873.29,54865.04,93828.43955632165
2019-01-01,CLIENTES GRANDES,A1,10808.19,MARCA1,0.3372,0.93,22,22.2,0.06,8.124,87805.74,29608.1,58197.64,88546.89674113313
2019-02-01,CLIENTES GRANDES,A1,11067.81,MARCA1,0.2887,0.93,20,23.0,0.2,13.816,152912.86,44145.94,108766.92,157712.70102929388
2019-03-01,CLIENTES GRANDES,A1,12713.88,MARCA1,0.2571,0.93,21,22.5,0.88,18.944,240851.74,61922.98,178928.76,234394.8610613408
2019-04-01,CLIENTES GRANDES,A1,11704.63,MARCA1,0.2735,0.93,20,20.9,1.1,14.771,172889.09,47285.17,125603.92,182342.59691446685
2019-05-01,CLIENTES GRANDES,A1,11612.97,MARCA1,0.302,0.92,22,18.5,1.19,15.416,179025.55,54065.72,124959.83,167706.14783581338
2019-06-01,CLIENTES GRANDES,A1,11933.08,MARCA1,0.297,0.92,20,16.4,1.13,23.587,281465.56,83595.27,197870.29,259429.1428509945
2019-07-01,CLIENTES GRANDES,A1,11705.14,MARCA1,0.288,0.92,22,15.7,1.36,8.165,95572.47,27524.87,68047.6,192112.41780633878
2019-08-01,CLIENTES GRANDES,A1,11925.02,MARCA1,0.2933,0.9,21,15.3,1.48,18.808,224285.78,65783.02,158502.76,165328.10035309402
2019-09-01,CLIENTES GRANDES,A1,11745.64,MARCA1,0.2432,0.92,21,15.7,1.51,23.345,274201.97,66685.92,207516.05,218087.6299096872
2019-10-01,CLIENTES GRANDES,A1,11783.51,MARCA1,0.2909,0.92,22,16.7,1.65,11.1,130796.96,38048.84,92748.12,87626.1858068605
2019-11-01,CLIENTES GRANDES,A1,11193.83,MARCA1,0.2816,0.92,20,18.0,1.76,23.97,268316.11,75557.82,192758.29,189483.98464201717
2019-12-01,CLIENTES GRANDES,A1,12458.22,MARCA1,0.2822,0.93,21,19.6,1.88,19.676,245127.94,69175.1,175952.84,244596.89896916476
2020-01-01,CLIENTES GRANDES,A1,11366.2,MARCA1,0.2578,0.92,22,22.2,0.05,0.0,0.0,0.0,0.0,266086.5971692628
2020-02-01,CLIENTES GRANDES,A1,12094.32,MARCA1,0.2566,0.91,20,23.0,0.17,0.0,0.0,0.0,0.0,548152.7498621818
2020-03-01,CLIENTES GRANDES,A1,11172.95,MARCA1,0.2715,0.91,22,22.5,0.78,0.0,0.0,0.0,0.0,964045.1490658846
2020-04-01,CLIENTES GRANDES,A1,11366.2,MARCA1,0.2578,0.92,22,20.9,0.82,0.0,0.0,0.0,0.0,845982.6003106326
2020-05-01,CLIENTES GRANDES,A1,12094.32,MARCA1,0.2566,0.91,20,18.5,0.96,0.0,0.0,0.0,0.0,939911.531435352
2020-06-01,CLIENTES GRANDES,A1,11172.95,MARCA1,0.2715,0.91,22,16.4,1.1,0.0,0.0,0.0,0.0,1608941.819639035
2018-01-01,CLIENTES GRANDES,A2,16001.06,MARCA2,0.2392,1.0,22,22.2,0.18,41.297,660795.77,158062.35,502733.42,510524.3179923125
2018-02-01,CLIENTES GRANDES,A2,15518.31,MARCA2,0.2585,1.0,20,23.0,0.48,38.199,592783.92,153234.64,439549.28,707714.93689247
2018-03-01,CLIENTES GRANDES,A2,16254.96,MARCA2,0.2989,1.0,20,22.5,0.97,37.422,608293.11,181818.81,426474.3,1046289.5732400449
2018-04-01,CLIENTES GRANDES,A2,16170.84,MARCA2,0.2287,1.0,21,20.9,0.84,44.562,720604.97,164802.36,555802.61,483720.14924502233
2018-05-01,CLIENTES GRANDES,A2,15571.3,MARCA2,0.2936,1.0,22,18.5,0.88,50.492,786226.08,230835.98,555390.1,857912.7979275761
