MES/AÑO,TIPO CLIENTES,PRODUCTO,INVERSION
201801,CLIENTES GRANDES,A1,0.3296
201801,CLIENTES GRANDES,A2,0.2392
201801,CLIENTES GRANDES,A3,0.2552
201801,CLIENTES GRANDES,A4,0.2642
201801,CLIENTES GRANDES,A5,0.2246
201801,CLIENTES GRANDES,A6,0.2572
201801,CLIENTES GRANDES,A7,0.2593
201801,CLIENTES GRANDES,A8,0.3192
201801,CLIENTES GRANDES,A9,0.2548
201801,CLIENTES GRANDES,A10,0.2624
201801,CLIENTES GRANDES,A11,0.3117
201801,CLIENTES GRANDES,A12,0.2297
201801,CLIENTES GRANDES,A13,0.2422
201801,CLIENTES GRANDES,A14,0.3411
201801,CLIENTES GRANDES,A15,0.3784
201801,CLIENTES GRANDES,A16,0.3099
201801,CLIENTES GRANDES,A17,0.2448
201801,CLIENTES GRANDES,A18,0.2273
201801,CLIENTES GRANDES,A19,0.2489
201801,CLIENTES GRANDES,A20,0.2493
201801,CLIENTES GRANDES,A21,0.2813
201801,CLIENTES GRANDES,A22,0.2312
201801,CLIENTES GRANDES,A23,0.3009
201801,CLIENTES GRANDES,A24,0.3147
201801,CLIENTES PEQUEÑOS,A1,0.3296
201801,CLIENTES PEQUEÑOS,A2,0.2392
201801,CLIENTES PEQUEÑOS,A3,0.2552
201801,CLIENTES PEQUEÑOS,A4,0.2642
201801,CLIENTES PEQUEÑOS,A5,0.2246
201801,CLIENTES PEQUEÑOS,A6,0.2572
201801,CLIENTES PEQUEÑOS,A7,0.2593
201801,CLIENTES PEQUEÑOS,A8,0.3192
201801,CLIENTES PEQUEÑOS,A9,0.2548
201801,CLIENTES PEQUEÑOS,A10,0.2624
201801,CLIENTES PEQUEÑOS,A11,0.3117
201801,CLIENTES PEQUEÑOS,A14,0.3411
201801,CLIENTES PEQUEÑOS,A15,0.3784
201801,CLIENTES PEQUEÑOS,A16,0.3099
201801,CLIENTES PEQUEÑOS,A17,0.2448
201801,CLIENTES PEQUEÑOS,A18,0.2273
201801,CLIENTES PEQUEÑOS,A19,0.2489
201801,CLIENTES PEQUEÑOS,A20,0.2493
201801,CLIENTES PEQUEÑOS,A21,0.2813
201801,CLIENTES PEQUEÑOS,A22,0.2312
201801,CLIENTES PEQUEÑOS,A23,0.3009
201802,CLIENTES GRANDES,A1,0.2624
201802,CLIENTES GRANDES,A2,0.2585
201802,CLIENTES GRANDES,A3,0.2253
201802,CLIENTES GRANDES,A4,0.2437
201802,CLIENTES GRANDES,A5,0.2508
201802,CLIENTES GRANDES,A6,0.2295
201802,CLIENTES GRANDES,A7,0.2555
201802,CLIENTES GRANDES,A8,0.1936
201802,CLIENTES GRANDES,A9,0.1898
201802,CLIENTES GRANDES,A10,0.2575
201802,CLIENTES GRANDES,A11,0.2732
201802,CLIENTES GRANDES,A12,0.2057
201802,CLIENTES GRANDES,A13,0.2136
201802,CLIENTES GRANDES,A14,0.2729
201802,CLIENTES GRANDES,A15,0.283
201802,CLIENTES GRANDES,A16,0.2437
201802,CLIENTES GRANDES,A17,0.262
201802,CLIENTES GRANDES,A18,0.1988
201802,CLIENTES GRANDES,A19,0.2415
201802,CLIENTES GRANDES,A20,0.2626
201802,CLIENTES GRANDES,A21,0.2403
201802,CLIENTES GRANDES,A22,0.2184
201802,CLIENTES GRANDES,A23,0.276
201802,CLIENTES GRANDES,A24,0.2742
201802,CLIENTES PEQUEÑOS,A1,0.2624
201802,CLIENTES PEQUEÑOS,A2,0.2585
201802,CLIENTES PEQUEÑOS,A3,0.2253
201802,CLIENTES PEQUEÑOS,A4,0.2437
201802,CLIENTES PEQUEÑOS,A5,0.2508
