MES/AÑO,DIAS HABILES,TEMPERATURA,INFLACION
201801,22,22.2,0.18
201802,20,23,0.48
201803,20,22.5,0.97
201804,21,20.9,0.84
201805,22,18.5,0.88
201806,20,16.4,1.24
201807,22,15.7,1.64
201808,22,15.3,1.81
201809,20,15.7,2.01
201810,22,16.7,2.14
201811,21,18,2.29
201812,20,19.6,2.48
201901,22,22.2,0.06
201902,20,23,0.2
201903,21,22.5,0.88
201904,20,20.9,1.1
201905,22,18.5,1.19
201906,20,16.4,1.13
201907,22,15.7,1.36
201908,21,15.3,1.48
201909,21,15.7,1.51
201910,22,16.7,1.65
201911,20,18,1.76
201912,21,19.6,1.88
202001,22,22.2,0.05
202002,20,23,0.17
202003,22,22.5,0.78
202004,22,20.9,0.82
202005,20,18.5,0.96
202006,22,16.4,1.1
