MES/AÑO,TIPO CLIENTES,PRODUCTO,VENTAS (TON)
201801,CLIENTES GRANDES,A1,5.58316
201801,CLIENTES GRANDES,A2,41.29704
201801,CLIENTES GRANDES,A3,2.5531
201801,CLIENTES GRANDES,A4,36.453888
201801,CLIENTES GRANDES,A5,13.792896
201801,CLIENTES GRANDES,A6,3.86672
201801,CLIENTES GRANDES,A7,3.06774
201801,CLIENTES GRANDES,A8,8.197056
201801,CLIENTES GRANDES,A9,10.50377
201801,CLIENTES GRANDES,A10,6.164046
201801,CLIENTES GRANDES,A11,11.457936
201801,CLIENTES GRANDES,A12,5.890212
201801,CLIENTES GRANDES,A13,8.324942
201801,CLIENTES GRANDES,A14,12.737952
201801,CLIENTES GRANDES,A15,4.980459
201801,CLIENTES GRANDES,A16,3.430504
201801,CLIENTES GRANDES,A17,3.37945
201801,CLIENTES GRANDES,A18,30.701544
201801,CLIENTES GRANDES,A19,28.142437
201801,CLIENTES GRANDES,A20,47.220214
201801,CLIENTES GRANDES,A21,60.109382
201801,CLIENTES GRANDES,A22,5.71285
201801,CLIENTES GRANDES,A23,46.993383
201801,CLIENTES GRANDES,A24,6.924636
201801,CLIENTES PEQUEÑOS,A1,17.06016
201801,CLIENTES PEQUEÑOS,A2,26.181225
201801,CLIENTES PEQUEÑOS,A3,11.2035
201801,CLIENTES PEQUEÑOS,A4,58.850307
201801,CLIENTES PEQUEÑOS,A5,10.001498
201801,CLIENTES PEQUEÑOS,A6,1.383044
201801,CLIENTES PEQUEÑOS,A7,1.000714
201801,CLIENTES PEQUEÑOS,A8,8.133786
201801,CLIENTES PEQUEÑOS,A9,50.095973
201801,CLIENTES PEQUEÑOS,A10,13.347978
201801,CLIENTES PEQUEÑOS,A11,3.232224
201801,CLIENTES PEQUEÑOS,A14,4.022792
201801,CLIENTES PEQUEÑOS,A15,0.847275
201801,CLIENTES PEQUEÑOS,A16,1.490468
201801,CLIENTES PEQUEÑOS,A17,3.7661
201801,CLIENTES PEQUEÑOS,A18,185.471611
201801,CLIENTES PEQUEÑOS,A19,46.825927
201801,CLIENTES PEQUEÑOS,A20,35.717173
201801,CLIENTES PEQUEÑOS,A21,51.742798
201801,CLIENTES PEQUEÑOS,A22,16.2334
201801,CLIENTES PEQUEÑOS,A23,55.462572
201802,CLIENTES GRANDES,A1,10.44924
201802,CLIENTES GRANDES,A2,38.199285
201802,CLIENTES GRANDES,A3,3.95745
